encoder_value,roll_value,gyro_value,pid
32,-1.906,-5.717,-123.398
32,-1.877,-5.233,-148.668
32,-1.853,-4.531,-162.723
31,-1.833,-3.755,-157.169
30,-1.815,-3.237,-154.036
31,-1.801,-2.686,-197.596
30,-1.789,-2.318,-173.92
30,-1.776,-2.354,-179.669
31,-1.766,-2.24,-203.394
30,-1.755,-2.242,-170.084
31,-1.741,-2.609,-189.322
31,-1.729,-2.732,-174.982
30,-1.714,-2.82,-147.597
31,-1.698,-2.996,-171.418
30,-1.685,-2.816,-142.45
30,-1.669,-2.649,-153.051
30,-1.656,-2.446,-156.11
29,-1.646,-2.019,-143.244
29,-1.634,-1.891,-153.514
29,-1.626,-1.752,-155.752
29,-1.618,-1.531,-160.334
28,-1.608,-1.651,-133.012
28,-1.6,-1.625,-141.346
28,-1.592,-1.509,-143.032
27,-1.582,-1.63,-115.75
27,-1.575,-1.471,-127.684
27,-1.567,-1.128,-135.599
26,-1.561,-0.987,-115.868
25,-1.557,-0.775,-107.357
26,-1.553,-0.438,-147.163
25,-1.551,-0.189,-122.256
24,-1.55,-0.046,-112.584
24,-1.549,0.113,-125.884
24,-1.55,0.265,-130.348
24,-1.551,0.167,-128.025
23,-1.551,0.005,-101.482
24,-1.55,0.014,-133.346
23,-1.549,-0.127,-98.227
22,-1.547,-0.394,-77.371
22,-1.545,-0.348,-87.311
21,-1.543,-0.161,-69.636
21,-1.541,-0.114,-79.595
20,-1.54,0.119,-63.439
19,-1.545,0.559,-62.71
19,-1.55,0.914,-82.241
17,-1.557,1.186,-46.07
18,-1.563,1.454,-94.958
16,-1.572,1.756,-50.989
17,-1.581,1.884,-96.649
16,-1.59,1.819,-65.458
15,-1.6,1.838,-54.591
15,-1.608,1.815,-64.784
15,-1.617,1.64,-62.001
14,-1.625,1.436,-35.836
14,-1.631,1.307,-42.675
13,-1.637,1.29,-21.201
12,-1.643,1.2,-6.489
11,-1.647,1.226,5.262
10,-1.654,1.605,7.268
8,-1.671,2.165,15.963
6,-1.683,2.645,36.706
5,-1.697,3.275,21.742
4,-1.716,3.848,16.406
4,-1.736,4.152,-4.731
2,-1.758,4.304,31.869
2,-1.781,4.606,1.342
2,-1.805,4.671,-5.172
1,-1.827,4.286,23.066
1,-1.848,4.028,16.75
1,-1.869,3.876,16.666
0,-1.887,3.337,49.904
0,-1.902,2.831,51.322
