encoder_value,roll_value,gyro_value,pid,predicted_pid_to_send
284,-0.572,-2.345,103.337,754.7
285,-0.563,-1.788,81.438,752.2
286,-0.558,-1.187,89.177,744.8
287,-0.554,-0.648,66.861,734.6
288,-0.554,-0.106,52.557,721.2
289,-0.556,0.385,16.615,707.5
290,-0.56,0.589,42.014,698.5
291,-0.564,0.647,30.736,691.4
292,-0.571,0.739,4.624,683.7
293,-0.576,0.633,15.406,681.4
294,-0.579,0.296,1.294,683.7
295,-0.582,-0.047,41.283,687.2
296,-0.583,-0.427,19.853,693.5
297,-0.579,-0.986,21.886,705.8
298,-0.574,-1.429,66.09,716.5
299,-0.569,-1.551,61.412,723.3
300,-0.562,-1.834,48.03,735.8
301,-0.551,-2.245,92.398,751.9
302,-0.542,-2.258,63.194,759.8
303,-0.533,-2.285,97.29,770.2
304,-0.52,-2.461,95.64,782.9
305,-0.511,-2.17,89.819,783.8
306,-0.503,-1.768,80.771,782.8
307,-0.493,-1.603,100.875,783.9
308,-0.488,-1.157,103.712,775.3
309,-0.485,-0.621,81.1,764.3
310,-0.482,-0.405,53.759,758.5
311,-0.481,0.042,51.024,743.5
312,-0.487,0.781,52.865,722.5
313,-0.492,0.948,38.499,714.2
314,-0.495,0.752,20.663,711.6
315,-0.502,1.04,20.66,696.4
316,-0.511,1.252,35.797,687.2
317,-0.516,0.733,39.754,693.7
318,-0.519,0.215,7.96,697.4
319,-0.523,0.065,29.086,695.9
320,-0.523,-0.377,40.84,704.1
321,-0.52,-1.052,36.963,717.7
322,-0.516,-1.379,77.965,725.1
323,-0.509,-1.656,55.295,735.5
324,-0.5,-2.094,100.126,750.8
325,-0.49,-2.37,78.076,764.0
326,-0.479,-2.601,95.472,778.7
327,-0.465,-2.739,101.98,791.6
328,-0.452,-2.523,121.183,796.2
329,-0.441,-2.276,107.983,800.0
330,-0.43,-1.983,125.057,800.0
331,-0.422,-1.279,98.994,787.7
332,-0.42,-0.48,123.374,771.5
333,-0.418,0.173,88.579,754.9
334,-0.422,0.955,67.167,730.9
335,-0.431,1.795,20.781,705.6
336,-0.441,2.233,83.596,686.5
337,-0.453,2.341,51.603,672.3
338,-0.468,2.469,22.854,656.9
339,-0.48,2.377,9.385,647.5
340,-0.492,2.096,23.461,642.2
341,-0.506,1.832,27.928,638.0
342,-0.514,1.207,20.506,644.9
343,-0.518,0.46,48.447,655.9
344,-0.523,0.095,12.305,657.3
345,-0.524,-0.406,43.232,668.3
346,-0.519,-1.257,66.886,687.2
347,-0.513,-1.709,102.584,699.1
348,-0.507,-1.839,75.875,708.6
349,-0.496,-2.221,119.631,725.3
350,-0.485,-2.375,94.686,736.6
351,-0.476,-2.131,121.373,740.1
352,-0.464,-2.066,135.635,747.5
