Step,Roll Angle 0 degree (rad unit),Roll Angle 3 degree (rad unit),Roll Angle 5 degree (rad unit),Roll Angle 7 degree (rad unit),Roll Angle 0 degree,Roll Angle 3 degree,Roll Angle 5 degree,Roll Angle 7 degree
191,-0.012656126,-0.005568038,-0.001312267,-0.030176012,-0.725142605,-0.319025078,-0.075187361,-1.72895813
192,-0.012625905,-0.005462893,-0.001268886,-0.029982932,-0.723411069,-0.313000713,-0.072701812,-1.717895461
193,-0.012595408,-0.005359342,-0.001226691,-0.029791121,-0.72166372,-0.307067678,-0.070284217,-1.7069055
194,-0.012564875,-0.005257349,-0.001185657,-0.029600307,-0.719914308,-0.301223909,-0.067933142,-1.695972663
195,-0.012534534,-0.005156896,-0.001145753,-0.029410464,-0.718175896,-0.295468376,-0.065646811,-1.685095461
196,-0.012504367,-0.005057966,-0.001106954,-0.029221582,-0.716447455,-0.289800105,-0.063423792,-1.674273319
197,-0.012474244,-0.004960535,-0.001069233,-0.029033643,-0.714721534,-0.28421772,-0.061262538,-1.663505208
198,-0.012444112,-0.004864602,-0.001032576,-0.028846648,-0.712995097,-0.278721164,-0.059162247,-1.652791183
199,-0.012414513,-0.004770146,-0.000996952,-0.02866059,-0.7112992,-0.273309233,-0.057121142,-1.642130845
200,-0.012384837,-0.004677287,-0.000962386,-0.028475461,-0.70959889,-0.267988805,-0.055140656,-1.631523735
201,-0.012354889,-0.004585891,-0.000928812,-0.028291564,-0.707882996,-0.2627522,-0.053217008,-1.620987213
202,-0.012324922,-0.004495935,-0.000896219,-0.028108634,-0.706166013,-0.2575981,-0.051349566,-1.610506096
203,-0.012295147,-0.004407392,-0.000864573,-0.027926628,-0.704460032,-0.25252496,-0.049536384,-1.60007792
204,-0.012265526,-0.004320246,-0.00083386,-0.027745514,-0.702762873,-0.247531862,-0.047776659,-1.589700853
205,-0.012235937,-0.004234482,-0.000804051,-0.027565269,-0.701067548,-0.242617947,-0.046068729,-1.579373575
206,-0.012206358,-0.004150092,-0.00077514,-0.027385896,-0.699372797,-0.237782756,-0.044412251,-1.569096259
207,-0.012177307,-0.004067057,-0.000747096,-0.027207375,-0.697708297,-0.233025201,-0.042805448,-1.558867759
208,-0.012148175,-0.003985473,-0.000719937,-0.027029682,-0.696039156,-0.228350782,-0.041249352,-1.5486867
209,-0.012118776,-0.003905235,-0.000693607,-0.026853122,-0.694354718,-0.223753484,-0.039740754,-1.538570557
210,-0.012089351,-0.003826311,-0.000668099,-0.026677441,-0.692668789,-0.219231471,-0.038279253,-1.528504778
211,-0.012060114,-0.003748679,-0.000643381,-0.026502573,-0.690993633,-0.214783485,-0.036863016,-1.518485579
212,-0.012031036,-0.003672322,-0.000619442,-0.026328513,-0.689327586,-0.210408552,-0.035491412,-1.508512676
